summary,value,description,keywords
Ulysses S. Grant elected,1869,Ulysses S. Grant was elected as the eighteenth President of the United States in 1869.,"US Presient,United States, 19th Century"
Rutherford B. Hayes elected,1877,Rutherford B. Hayes was elected as the nineteenth President of the United States in 1877.,"US Presient,United States, 19th Century"
James A. Garfield elected,1881,James A. Garfield was elected as the twentieth President of the United States in 1881.,"US Presient,United States, 19th Century"
Chester A. Arthur succeeds Garfield,1881,Chester A. Arthur succeeded James A. Garfield as the twenty-first President of the United States after Garfield's assassination in 1881.,"US Presient,United States, 19th Century"
Grover Cleveland elected,1885,Grover Cleveland was elected as the twenty-second President of the United States in 1885.,"US Presient,United States, 19th Century"
Benjamin Harrison elected,1889,Benjamin Harrison was elected as the twenty-third President of the United States in 1889.,"US Presient,United States, 19th Century"
Grover Cleveland reelected,1893,Grover Cleveland was reelected and served as the twenty-fourth President of the United States from 1893 to 1897.,"US Presient,United States, 19th Century"
William McKinley elected,1897,William McKinley was elected as the twenty-fifth President of the United States in 1897.,"US Presient,United States, 19th Century"
Theodore Roosevelt succeeds McKinley,1901,Theodore Roosevelt succeeded William McKinley as the twenty-sixth President of the United States after McKinley's assassination in 1901.,"US Presient,United States, 20th Century"
William Howard Taft elected,1909,William Howard Taft was elected as the twenty-seventh President of the United States in 1909.,"US Presient,United States, 20th Century"
Woodrow Wilson elected,1913,Woodrow Wilson was elected as the twenty-eighth President of the United States in 1913.,"US Presient,United States, 20th Century"
Warren G. Harding elected,1921,Warren G. Harding was elected as the twenty-ninth President of the United States in 1921.,"US Presient,United States, 20th Century"
Calvin Coolidge succeeds Harding,1923,Calvin Coolidge succeeded Warren G. Harding as the thirtieth President of the United States after Harding's death in 1923.,"US Presient,United States, 20th Century"
Herbert Hoover elected,1929,Herbert Hoover was elected as the thirty-first President of the United States in 1929.,"US Presient,United States, 20th Century"
Franklin D. Roosevelt elected four times,1933,"Franklin D. Roosevelt was elected to four consecutive terms as the thirty-second President of the United States, serving from 1933 to 1945.","US Presient,United States, 20th Century"
Harry S. Truman succeeds Roosevelt,1945,Harry S. Truman succeeded Franklin D. Roosevelt as the thirty-third President of the United States after Roosevelt's death in 1945.,"US Presient,United States, 20th Century"
Dwight D. Eisenhower elected,1953,Dwight D. Eisenhower was elected as the thirty-fourth President of the United States in 1953.,"US Presient,United States, 20th Century"
John F. Kennedy elected,1961,John F. Kennedy was elected as the thirty-fifth President of the United States in 1961.,"US Presient,United States, 20th Century"
Lyndon B. Johnson succeeds Kennedy,1963,Lyndon B. Johnson succeeded John F. Kennedy as the thirty-sixth President of the United States after Kennedy's assassination in 1963.,"US Presient,United States, 20th Century"
Richard Nixon elected,1969,Richard Nixon was elected as the thirty-seventh President of the United States in 1969.,"US Presient,United States, 20th Century"
Gerald Ford succeeds Nixon,1974,Gerald Ford succeeded Richard Nixon as the thirty-eighth President of the United States after Nixon's resignation in 1974.,"US Presient,United States, 20th Century"
Jimmy Carter elected,1977,Jimmy Carter was elected as the thirty-ninth President of the United States in 1977.,"US Presient,United States, 20th Century"
Ronald Reagan elected,1981,Ronald Reagan was elected as the fortieth President of the United States in 1981.,"US Presient,United States, 20th Century"
George H. W. Bush elected,1989,George H. W. Bush was elected as the forty-first President of the United States in 1989.,"US Presient,United States, 20th Century"
Bill Clinton elected,1993,Bill Clinton was elected as the forty-second President of the United States in 1993.,"US Presient,United States, 20th Century"
George W. Bush elected,2001,George W. Bush was elected as the forty-third President of the United States in 2001.,"US Presient,United States, 21st Century"
Barack Obama elected,2009,Barack Obama was elected as the forty-fourth President of the United States in 2009.,"US Presient,United States, 21st Century"
Donald Trump elected,2017,Donald Trump was elected as the forty-fifth President of the United States in 2017.,"US Presient,United States, 21st Century"
Joe Biden elected,2021,Joe Biden was elected as the forty-sixth President of the United States in 2021.,"US Presient,United States, 21st Century"
